Date,NVIDIA Close,NVIDIA Open,NVIDIA Price Change,BTC Close/Last,BTC Open,BTC Price Change
07/23/2024,122.59,122.78,-0.19,66054.5,67649.9,-1595.4
07/22/2024,123.54,120.35,3.19,67486.8,67051.3,435.5
07/19/2024,117.93,120.35,-2.42,66670.6,63814.4,2856.2
07/18/2024,121.09,121.85,-0.76,64290.3,64700.2,-409.9
07/17/2024,117.99,121.35,-3.36,64919.9,65621.9,-702
07/16/2024,126.36,128.44,-2.08,65758,64762.8,995.2
07/15/2024,128.44,130.56,-2.12,64773.5,62653.1,2120.4
07/12/2024,129.24,128.26,0.98,57861.7,56918,943.7
07/11/2024,127.40,135.75,-8.35,56919.7,57566.6,-646.9
07/10/2024,134.91,134.03,0.88,57454.5,58181.8,-727.3
07/09/2024,131.38,130.35,1.03,58151,57167.8,983.2
07/08/2024,128.20,127.49,0.71,57200.8,55174.9,2025.9
07/05/2024,125.83,127.38,-1.55,56399.9,55226.5,1173.4
07/03/2024,128.28,121.66,6.62,59045.5,60957.5,-1912
07/02/2024,122.67,121.13,1.54,60947.2,63118.8,-2171.6
07/01/2024,124.30,123.47,0.83,63111.8,63426.4,-314.6
06/28/2024,123.54,124.58,-1.04,60745,61814.6,-1069.6
06/27/2024,123.99,124.10,-0.11,61805.1,61006.2,798.9
06/26/2024,126.40,126.13,0.27,61028.5,61934.9,-906.4
06/25/2024,126.09,121.20,4.89,61963.8,61299.1,664.7
06/24/2024,118.11,123.24,-5.13,61376.3,62857.1,-1480.8
06/21/2024,126.57,127.12,-0.55,64275.7,64512.9,-237.2
06/20/2024,130.78,139.80,-9.02,64696.4,65179,-482.6
06/18/2024,135.58,131.14,4.44,65430.8,65483.4,-52.6
06/17/2024,130.98,132.99,-2.01,65502.2,66231.8,-729.6
06/14/2024,131.88,129.96,1.92,66235,66736.2,-501.2
06/13/2024,129.61,129.39,0.22,66738.9,67455.8,-716.9
06/12/2024,125.20,123.06,2.14,67322.9,67403.4,-80.5
06/11/2024,120.91,121.77,-0.86,67389.8,68456.9,-1067.1
06/10/2024,121.79,120.37,1.42,68320.5,69612.3,-1291.8
06/07/2024,120.89,119.77,1.12,69485.6,70990.7,-1505.1
06/06/2024,121.00,124.05,-3.05,70979.2,71053.3,-74.1
06/05/2024,122.44,118.37,4.07,71053.7,70838.6,215.1
06/04/2024,116.44,115.72,0.72,70873.9,69136.7,1737.2
06/03/2024,115.00,113.62,1.38,69154.6,68408.1,746.5
